Cage Barcode,Cage Function,Cage Type,Colony,Project Licence,Number Of Animals (175),Last Validated,Room,Condition,time,Cleaned,sexed,weaned,comments
C00635613,Stock,Standard Cage,LLAB,Li PP4103600 (LL),1,Never,7,0,00:20,1,0,0,
C00642674,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),9,Never,7,0,00:47,1,1,0,
C00642673,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),2,Never,7,0,00:35,1,0,0,
C00665013,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),12,Never,7,0,01:04,1,1,0,
C00640997,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:13,0,0,0,
C00667793,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),5,Never,7,0,00:33,1,0,0,
C00660762,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),2,Never,7,0,00:13,0,0,0,
C00662918,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:16,0,0,0,
C00670475,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:21,0,0,0,
C00660763,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:27,1,0,0,
C00660767,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:35,1,0,0,
C00660765,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:30,1,0,0,
C00632073,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:29,1,0,0,
C00636388,Stock,Standard Cage,LLAK,Li PP4103600 (LL),2,Never,7,0,00:25,1,0,0,
C00615503,Stock,Standard Cage,LLAK,Li PP4103600 (LL),4,Never,7,0,00:24,1,0,0,
C00665652,Stock,Standard Cage,LLAK,Li PP4103600 (LL),2,Never,7,0,00:17,0,0,0,
C00670470,Stock,Standard Cage,NTAM,Tapon PP1228499 (NT),3,Never,7,1,00:39,1,0,0,
C00654055,Stock,Standard Cage,NTAM,Tapon PP1228499 (NT),1,Never,7,1,00:19,0,0,0,
C00664593,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),5,Never,7,1,01:09,1,0,0,
C00646937,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),5,Never,7,1,00:24,0,0,0,
C00597915,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),1,Never,7,1,00:22,0,0,0,
C00660730,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),3,Never,7,1,00:41,1,0,0,
C00667609,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),8,Never,7,1,00:43,1,1,0,
C00651405,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),3,Never,7,1,00:22,0,0,0,
C00648261,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),8,Never,7,1,00:52,1,1,0,
